选择,基金代码,基金简称,购入日期,购入数量,卖出日期,卖出数量,Button
True,000336,农银研究精选混合,['2021-03-15'],[302.15],['2021-04-14'],[0],button
True,000336,农银研究精选混合,['2021-03-31'],[145.9],['2021-04-14'],[0],button
True,001216,易方达新收益混合A,['2021-03-15'],[280.56],['2021-04-14'],[0],button
True,001216,易方达新收益混合A,['2021-03-31'],[264.44],['2021-04-14'],[0],button
True,005267,嘉实价值精选股票,['2021-03-16'],[96.73],['2021-04-14'],[0],button
True,005760,富国周期优势混合A,['2021-03-16'],[73.3],['2021-04-14'],[0],button
True,005827,易方达蓝筹精选混合,['2021-03-08'],[716.49],['2021-04-14'],[0],button
True,006039,国富估值优势混合,['2021-03-16'],[73.3],['2021-04-14'],[0],button
True,008245,圆信永丰致优混合A,['2021-03-16'],[102.49],['2021-04-14'],[0],button
True,163406,兴全合润混合(LOF),['2021-03-15'],[994.77],['2021-04-14'],[0],button
True,163415,兴全商业模式优选混合,['2021-03-16'],[54.56],['2021-04-14'],[0],button
True,202101,南方宝元债券A,['2021-04-28'],[1973.68],['2021-04-30'],[0],提取
